,Average_Temparature
1980-01-01,-11.677114486694336
1980-01-02,-14.677583694458008
1980-01-03,-15.920531272888184
1980-01-04,-14.918734550476074
1980-01-05,-15.703874588012695
1980-01-06,-17.698692321777344
1980-01-07,-19.706912994384766
1980-01-08,-15.674895286560059
1980-01-09,-8.199014663696289
1980-01-10,-11.769428253173828
1980-01-11,-12.41922378540039
1980-01-12,-15.32542896270752
1980-01-13,-13.605552673339844
1980-01-14,-7.019349098205566
1980-01-15,-14.89487075805664
1980-01-16,-19.211780548095703
1980-01-17,-11.861398696899414
1980-01-18,-12.536882400512695
1980-01-19,-15.396930694580078
1980-01-20,-12.56335163116455
1980-01-21,-8.365180969238281
1980-01-22,-9.86327075958252
1980-01-23,-8.380009651184082
1980-01-24,-14.513497352600098
1980-01-25,-23.18129539489746
1980-01-26,-30.415719985961914
1980-01-27,-30.731863021850586
1980-01-28,-25.967418670654297
1980-01-29,-24.810401916503906
1980-01-30,-21.95656967163086
1980-01-31,-23.91909408569336
1980-02-01,-21.26570701599121
1980-02-02,-18.084360122680664
1980-02-03,-16.667190551757812
1980-02-04,-18.258716583251953
1980-02-05,-19.049665451049805
1980-02-06,-22.131099700927734
1980-02-07,-24.31427764892578
1980-02-08,-24.35089111328125
1980-02-09,-24.874176025390625
1980-02-10,-26.324382781982422
1980-02-11,-25.297452926635742
1980-02-12,-21.607192993164062
1980-02-13,-16.246273040771484
1980-02-14,-13.274088859558105
1980-02-15,-11.955472946166992
1980-02-16,-11.825884819030762
1980-02-17,-13.979718208312988
1980-02-18,-10.340087890625
1980-02-19,-11.675463676452637
1980-02-20,-7.2112908363342285
1980-02-21,-2.075871706008911
1980-02-22,-8.095355033874512
1980-02-23,-12.85517692565918
1980-02-24,-11.106277465820312
1980-02-25,-6.810334205627441
1980-02-26,-11.80627155303955
1980-02-27,-14.306632041931152
1980-02-28,-17.902542114257812
1980-02-29,-17.379831314086914
1980-03-01,-15.229723930358887
1980-03-02,-15.928205490112305
1980-03-03,-14.592203140258789
1980-03-04,-11.56911563873291
1980-03-05,-10.036311149597168
1980-03-06,-14.937801361083984
1980-03-07,-18.305559158325195
1980-03-08,-20.296905517578125
1980-03-09,-19.686216354370117
1980-03-10,-19.36775016784668
1980-03-11,-16.8940486907959
1980-03-12,-15.422907829284668
1980-03-13,-12.579732894897461
1980-03-14,-13.488677978515625
1980-03-15,-12.35269832611084
1980-03-16,-8.791009902954102
1980-03-17,-10.206319808959961
1980-03-18,-13.62266731262207
1980-03-19,-13.993059158325195
1980-03-20,-11.90457534790039
1980-03-21,-6.193384647369385
1980-03-22,-4.359839916229248
1980-03-23,-5.126636981964111
1980-03-24,-3.2790355682373047
1980-03-25,-0.5285364985466003
1980-03-26,-5.530217170715332
1980-03-27,-9.35119342803955
1980-03-28,-8.389547348022461
1980-03-29,-6.697570323944092
1980-03-30,-4.736170291900635
1980-03-31,-1.09103524684906
1980-04-01,-0.5282992124557495
1980-04-02,-8.632217407226562
1980-04-03,-12.770631790161133
1980-04-04,-10.895265579223633
1980-04-05,-10.70138168334961
1980-04-06,-6.9883952140808105
